X,Y,code_pt,proprio,gestion,type_struc,type_ptech,type_fonc,etat,qualite,activite,adresse,etat_avt,obs,coord_x,coord_y,icon_url
-17.4683268504011,14.7103830352077,"0",FREE,FREE,CHAMBRE,L2T,,,,,,,1 T1 + 4 coupleurs 1 x 8,234210.53,1627747.94,./0.png
-17.4690181327895,14.7102185272022,"1",FREE,FREE,CHAMBRE,L2T,,,,,,,1 T0,234135.86,1627730.55,./0.png
-17.4692591562433,14.7104014509738,"2",FREE,FREE,CHAMBRE,L2T,,,,,,,1 T0,234110.11,1627751.08,./0.png
-17.4685592678623,14.710870733661,"3",FREE,FREE,CHAMBRE,L2T,,,,,,,1 T0,234186.08,1627802.20,./0.png
-17.4816209457745,14.7096092633801,"4",FREE,FREE,POTEAU,,,,,,,,Poteau à planter,232777.30,1627678.01,./1.png
-17.4814264910992,14.709692589132,"5",FREE,FREE,POTEAU,,,,,,,,"Poteau à planter
01 PBO sur poteau",232798.35,1627687.00,./1.png
-17.4814337598273,14.7097811142606,"6",FREE,FREE,POTEAU,,,,,,,,Poteau à planter,232797.68,1627696.81,./1.png
-17.4811840001941,14.7098710000643,"7",FREE,FREE,POTEAU,,,,,,,,"01 PBO su Poteau
Poteau à planter",232824.69,1627706.47,./1.png
-17.4809460004284,14.7099940003903,"8",FREE,FREE,POTEAU,,,,,,,,"01 PBO su Poteau
Poteau à planter",232850.49,1627719.80,./1.png
-17.4804510505435,14.7102550263496,"9",FREE,FREE,POTEAU,,,,,,,,"FO 1-7
N'existait pas dans la 1ere version",232904.13,1627748.11,./1.png
-17.480260000334,14.7101239996384,"10",FREE,FREE,POTEAU,,,,,,,,Poteau Abonné,232924.55,1627733.38,./1.png
-17.4812889997541,14.7093940002287,"11",FREE,FREE,POTEAU,,,,,,,,Poteau Abonné,232812.80,1627653.79,./1.png
-17.4811100003008,14.7090150002636,"12",FREE,FREE,POTEAU,,,,,,,,Poteau Abonné,232831.62,1627611.62,./1.png
-17.4816594702444,14.7096310319601,"13",FREE,FREE,CHAMBRE,L2T,,,,,,,RPB : Rondpoint Bethio,232773.17,1627680.47,./0.png
-17.4822589394351,14.7094096798413,"14",FREE,FREE,CHAMBRE,L2T,,,,,,,"L2T/MZ3
1 BPEO T0",232708.32,1627656.67,./0.png
-17.4822589394351,14.7094096798413,"15",FREE,FREE,CHAMBRE,L2T,,,,,,,"L2T/MZ3
1 BPEO T0",232708.32,1627656.67,./0.png
-17.4718367540423,14.6970850398353,"16",FREE,FREE,CHAMBRE,K2C,,,,,,,,233816.25,1626280.10,./0.png
-17.4752604935394,14.6936575049708,"17",FREE,FREE,CHAMBRE,L2T,,,,,,,"L2T à créer

1 BPEO T0 + 1 coupleur 1:8 (recup de fibres de l'olt)

L2T_SP = L2T SEA PLAZA",233443.20,1625904.74,./0.png
-17.4811382018403,14.708250893144,"18",FREE,FREE,CHAMBRE,K2C,,,,,,,"-5 C1
-1 T1
Chambre SR de
C1 déporté dans la  BPEO T1",232827.66,1627527.08,./0.png
-17.4815899059751,14.7092508286598,"19",FREE,FREE,CHAMBRE,,,,,,,,,232780.21,1627638.30,./0.png
-17.4823671446154,14.707207589894,"20",FREE,FREE,CHAMBRE,L2T,,,,,,,"BPEO T0
Joint droit",232693.98,1627413.05,./0.png
-17.4818238722503,14.7068219678684,"21",FREE,FREE,CHAMBRE,L2T,,,,,,,1 BPEO T1 (N°2),232752.04,1627369.72,./0.png
-17.4808931692512,14.7075058509192,"22",FREE,FREE,CHAMBRE,L2T,,,,,,,1 BPEO T1 (N°3),232853.15,1627444.32,./0.png
-17.4819250292514,14.7066138318766,"23",FREE,FREE,CHAMBRE,L2T,,,,,,,BPE T1 (N°4),232740.89,1627346.80,./0.png
