X,Y,code_st,name,adresse,type_fonc,proprio,gestion,etat_avt,equipement,obs,icon_url
-17.4813000000949,14.7086000003898,"0",,DK_MERMOZ,ANTENNE RELAIS,HELIOS TOWER,FREE,,2G,,./0.png
-17.4547000001049,14.7342000001299,"1",,DK_SCAT_URBAM,ANTENNE RELAIS,HELIOS TOWER,FREE,,2G,,./0.png
-17.4447000003047,14.6983000002448,"2",,DK_WATER_TOWER,ANTENNE RELAIS,HELIOS TOWER,FREE,,2G,,./0.png
-17.4894000004097,14.7449999999501,"3",,DK_YOFF,ANTENNE RELAIS,HELIOS TOWER,FREE,,2G,,./0.png
-17.4250200001728,14.7430699999805,"4",,DK_DALIFOR,ANTENNE RELAIS,HELIOS TOWER,FREE,,2G,,./0.png
-17.4343620002061,14.7567179998359,"5",,DK_PARCELLES_ASS,ANTENNE RELAIS,HELIOS TOWER,FREE,,2G,,./0.png
-17.37779999987,14.7618999995854,"6",,DK_THIAROYE,ANTENNE RELAIS,HELIOS TOWER,FREE,,2G,,./0.png
-17.2639000002848,14.719300000095,"7",,DK_RUFISQUE,ANTENNE RELAIS,HELIOS TOWER,FREE,,2G,,./0.png
-17.4308999997352,14.6717000002549,"8",,DK_ELECTRA,ANTENNE RELAIS,HELIOS TOWER,FREE,,2G,,./0.png
-17.4420899995538,14.6715499996328,"9",,DK_THIOKER,ANTENNE RELAIS,HELIOS TOWER,FREE,,2G,,./0.png
-17.4332999997951,14.7135999998401,"10",,DK_HANN_MARINAS,ANTENNE RELAIS,HELIOS TOWER,FREE,,2G,,./0.png
-17.4645649999747,14.6862999999451,"11",,DK_UNIVERSITE,ANTENNE RELAIS,HELIOS TOWER,FREE,,2G,,./0.png
-17.4626000001898,14.7151999998802,"12",,DK_SACRE_COEUR,ANTENNE RELAIS,HELIOS TOWER,FREE,,2G,,./0.png
